model, dataset, max_depth, train_score0, train_score1, train_score2, test_score0, test_score1, test_score2, train_time0, train_time1, train_time2, hyperparameter0, hyperparameter1, hyperparameter2
FlowOCT-Benders, parkinsons, 3, 0.9538461538461539, 0.9538461538461539, 0.9461538461538461, 0.8769230769230769, 0.8307692307692308, 0.8461538461538461, 600.0282064710045, 600.0308341399941, 600.0304320279974, 5, 5, 5
FlowOCT-Benders, parkinsons, 4, 0.9384615384615385, 0.9461538461538461, 0.9461538461538461, 0.9230769230769231, 0.8307692307692308, 0.8615384615384616, 600.0378970909806, 600.0297836170066, 600.022819343023, 5, 5, 10
SOCT-baseline, balance_scale, 2, 1.0, 1.0, 1.0, 0.9712918660287081, 0.9855769230769231, 0.9423076923076923, 1.3564411280000002, 1.4154506429999856, 1.377468408999988, 2, 2, 2
SOCT-baseline, balance_scale, 3, 1.0, 1.0, 1.0, 0.9712918660287081, 0.9855769230769231, 0.9423076923076923, 1.9801629300000059, 2.0475828080000156, 2.0605619639999873, 3, 3, 3
SOCT-baseline, balance_scale, 4, 1.0, 1.0, 1.0, 0.9712918660287081, 0.9855769230769231, 0.9423076923076923, 3.2187755960000004, 3.243684145999964, 3.136178976999986, 5, 5, 5
SOCT-baseline, congressional_voting_records, 2, 1.0, 1.0, 1.0, 0.9448275862068966, 0.9517241379310345, 0.9241379310344827, 0.5870021940000356, 0.5898355870000387, 0.5897261619999767, 2, 2, 2
SOCT-baseline, congressional_voting_records, 3, 1.0, 1.0, 1.0, 0.9448275862068966, 0.9517241379310345, 0.9241379310344827, 1.2318109580000396, 1.1926195979999648, 1.2339362590000178, 3, 3, 3
SOCT-baseline, congressional_voting_records, 4, 1.0, 1.0, 1.0, 0.9448275862068966, 0.9517241379310345, 0.9241379310344827, 2.729059871000004, 2.3915472900000054, 2.3950177280000275, 5, 5, 5
SOCT-baseline, soybean_small, 2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.27546117399998593, 0.2818333760000087, 0.2973899859999847, 3, 3, 3
SOCT-baseline, soybean_small, 3, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.43958000499998207, 0.4278935440000282, 0.44353708700003835, 3, 3, 3
SOCT-baseline, soybean_small, 4, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5689230380000367, 0.5800580519999698, 0.6016268420000301, 5, 5, 5
SOCT-baseline, iris, 2, 1.0, 0.99, 0.99, 0.98, 0.98, 0.94, 0.3607265020000341, 0.5864672899999732, 0.544053606000034, 2, 2, 2
SOCT-baseline, iris, 3, 1.0, 1.0, 1.0, 0.98, 0.96, 0.94, 0.49082036400000106, 0.8240033589999598, 1.1037930360000132, 3, 3, 7
SOCT-baseline, iris, 4, 1.0, 1.0, 1.0, 0.98, 0.96, 0.98, 0.6455330059999937, 0.8254312119999554, 2.4764023570000404, 5, 15, 5
SOCT-baseline, wine, 2, 1.0, 1.0, 1.0, 0.9833333333333333, 0.9491525423728814, 1.0, 0.32050645900000063, 0.3323521159999814, 0.3354642069999727, 2, 2, 2
SOCT-baseline, wine, 3, 1.0, 1.0, 1.0, 0.9833333333333333, 0.9491525423728814, 1.0, 0.4996528959999864, 0.5004209979999814, 0.5019927549999466, 3, 3, 3
SOCT-baseline, wine, 4, 1.0, 1.0, 1.0, 0.9833333333333333, 0.9491525423728814, 1.0, 0.8229707919999782, 0.7868022339999925, 0.8200390369999582, 5, 5, 5
SOCT-baseline, breast_cancer, 2, 1.0, 1.0, 1.0, 0.9263157894736842, 0.9368421052631579, 0.9788359788359788, 2.990143260000025, 0.7699740880000263, 1.0190604809999968, 2, 2, 2
SOCT-baseline, breast_cancer, 3, 1.0, 1.0, 1.0, 0.9368421052631579, 0.9368421052631579, 0.9788359788359788, 1.8923872600000209, 1.609860814000001, 1.7651062850000017, 3, 3, 3
SOCT-baseline, breast_cancer, 4, 1.0, 1.0, 1.0, 0.9368421052631579, 0.9368421052631579, 0.9788359788359788, 3.4454608739999912, 3.4043957819999946, 3.4617557800000327, 5, 5, 5
SOCT-baseline, banknote_authentication, 2, 1.0, 1.0, 1.0, 1.0, 0.9956236323851203, 1.0, 1.1534584350000046, 32.823510759000044, 1.5512268139999605, 2, 3, 3
SOCT-baseline, banknote_authentication, 3, 1.0, 1.0, 1.0, 1.0, 0.9912472647702407, 1.0, 2.8666150629999265, 146.97862085400004, 3.2885797259999663, 3, 3, 3
SOCT-baseline, banknote_authentication, 4, 1.0, 1.0, 1.0, 1.0, 0.9956236323851203, 1.0, 4.695366432000014, 171.25146927700007, 5.184146680000026, 5, 15, 15
