model, dataset, max_depth, train_time, ub, lb, mip_gap, time_improvement, gap_improvement
SOCT-benders-last-10, breast_cancer, 2, 0.6948833360002027, 569.0, 569.0, 0.0, 48.91860880400054, 0.0
SOCT-init-1, breast_cancer, 2, 50.055166703000396, 569.0, 569.0, 0.0, -0.44167456299965124, 0.0
SOCT-init-5, breast_cancer, 2, 50.0561432150007, 569.0, 569.0, 0.0, -0.4426510749999579, 0.0
SOCT-baseline, breast_cancer, 3, 601.0147650269992, 568.9999999999998, 395.0, 0.44050632911392346, 0, 0
SOCT-benders-last-1, breast_cancer, 3, 1.4807574260003094, 569.0, 569.0, 0.0, 599.5340076009988, 0.44050632911392346
SOCT-benders-last-10, breast_cancer, 3, 1.4173482539999895, 569.0, 569.0, 0.0, 599.5974167729992, 0.44050632911392346
SOCT-init-1, breast_cancer, 3, 543.9702773129993, 568.9999999999999, 568.9999937948115, 1.0905427809674124e-08, 57.04448771399984, 0.4405063182084957
SOCT-init-5, breast_cancer, 3, 601.7686038299998, 568.9999999999995, 400.0, 0.4224999999999989, -0.75383880300069, 0.01800632911392458
SOCT-baseline, breast_cancer, 4, 557.3646116269992, 569.0, 569.0, 0.0, 0, 0
SOCT-benders-last-1, breast_cancer, 4, 52.861248051000075, 569.0, 569.0, 0.0, 504.5033635759992, 0.0
SOCT-benders-last-10, breast_cancer, 4, 25.68602248699972, 569.0, 569.0, 0.0, 531.6785891399995, 0.0
SOCT-init-1, breast_cancer, 4, 602.6793931889997, 568.9999999999991, 403.0, 0.41191066997518383, -45.31478156200046, -0.41191066997518383
SOCT-init-5, breast_cancer, 4, 603.0665526520006, 568.9999999999824, 412.0, 0.3810679611650058, -45.70194102500136, -0.3810679611650058
SOCT-baseline, banknote_authentication, 2, 155.64243784999962, 1372.0, 1372.0, 0.0, 0, 0
SOCT-benders-last-1, banknote_authentication, 2, 184.04977835999853, 1372.0, 1372.0, 0.0, -28.407340509998903, 0.0
SOCT-benders-last-10, banknote_authentication, 2, 236.01797492900005, 1372.0, 1372.0, 0.0, -80.37553707900042, 0.0
SOCT-init-1, banknote_authentication, 2, 315.30316003400003, 1372.0, 1372.0, 0.0, -159.6607221840004, 0.0
